Title,Genre,Release date,Metascore,N. Critics,User Score,N. Users,Developer,Publisher
The Legend of Zelda: Breath of the Wild,Open-World Action,"Mar 3, 2017",97,117,8.8,23049,Nintendo,Nintendo
Super Mario Odyssey,3D Platformer,"Oct 27, 2017",97,123,8.9,8812,Nintendo,Nintendo
The House in Fata Morgana - Dreams of the Revenants Edition -,Visual Novel,"Apr 9, 2021",96,10,8.5,943,HuneX,Limited Run Games
The Legend of Zelda: Tears of the Kingdom,Open-World Action,"May 12, 2023",96,156,8.4,12612,Nintendo,Nintendo
Portal: Companion Collection,Compilation,"Jun 28, 2022",95,10,8.8,60,Valve Software,Valve Software
Tetris Effect: Connected,Stacking Puzzle,"Nov 10, 2020",88,25,7.6,203,Monstars Inc.,Enhance Games
Metroid Prime Remastered,FPS,"Feb 8, 2023",94,100,8.8,1469,Retro Studios,Nintendo
Persona 5 Royal,JRPG,"Mar 31, 2020",95,74,8.6,4611,Atlus,Atlus
Hades,Roguelike,"Dec 6, 2018",93,61,8.6,2699,Supergiant Games,Supergiant Games
Divinity: Original Sin II - Definitive Edition,Western RPG,"Aug 31, 2018",92,46,8.2,680,Larian Studios Games,Larian Studios Games
Ori and the Will of the Wisps,Metroidvania,"Mar 11, 2020",90,76,8.9,2184,Moon Studios,Microsoft Game Studios
Undertale,JRPG,"Sep 15, 2015",92,44,8.6,6048,tobyfox,tobyfox
Super Smash Bros. Ultimate,2D Fighting,"Dec 7, 2018",93,110,8.7,4656,Nintendo,Nintendo
Super Mario Bros. Wonder,2D Platformer,"Oct 20, 2023",92,135,9.1,2304,Nintendo,Nintendo
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,Action RPG,"Apr 25, 2023",92,14,9.0,508,Monolith Soft,Nintendo
Celeste,2D Platformer,"Jan 25, 2018",92,37,8.7,1587,Maddy Makes Games,Maddy Makes Games
Bayonetta 2,Linear Action Adventure,"Oct 24, 2014",91,80,8.9,1444,PlatinumGames,Nintendo
Mario Kart 8 Deluxe,Auto Racing,"Apr 28, 2017",92,99,8.6,3248,Nintendo,Nintendo
Unavowed,Point-and-Click,"Aug 8, 2018",87,32,7.9,113,Wadjet Eye Games,Wadjet Eye Games
INSIDE,2D Platformer,"Jun 29, 2016",93,92,8.3,1145,PLAYDEAD,PLAYDEAD
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,JRPG,"Sep 27, 2019",91,51,8.6,881,Square Enix,Nintendo
Sonic Mania Plus,2D Platformer,"Jul 17, 2018",87,27,8.3,309,Sega,Sega
SteamWorld Heist,Turn-Based Strategy,"Dec 10, 2015",86,47,8.0,113,Image & Form,Image & Form
Shovel Knight: Treasure Trove,2D Platformer,"Mar 3, 2017",91,18,8.3,577,Yacht Club Games,Yacht Club Games
Animal Crossing: New Horizons,Virtual Life,"Mar 20, 2020",90,122,5.7,6900,Nintendo,Nintendo
Ori and the Blind Forest: Definitive Edition,Metroidvania,"Mar 11, 2016",88,24,8.2,569,Moon Studios,Microsoft Game Studios
Jack Jeanne,Visual Novel,"Jun 15, 2023",90,9,7.4,51,Broccoli,Aksys Games
Animal Well,Metroidvania,"May 9, 2024",91,33,7.9,292,Shared Memory,Bigmode
Bastion,Action RPG,"Jul 20, 2011",86,79,8.3,373,Supergiant Games,Warner Bros. Interactive Entertainment
Persona 4 Golden,JRPG,"Nov 20, 2012",93,61,8.7,2185,Atlus,Atlus
Sea of Stars,JRPG,"Aug 29, 2023",87,52,8.0,862,Sabotage Studio,Sabotage Studio
Pentiment,Adventure,"Nov 15, 2022",86,60,7.5,528,Obsidian Entertainment,Xbox Game Studios
Hollow Knight,Metroidvania,"Jun 12, 2018",90,30,9.1,2864,Team Cherry,Team Cherry
Chained Echoes,JRPG,"Dec 8, 2022",90,15,8.6,157,Matthias Linda,DECK13 Spotlight
Balatro,Card Battle,"Feb 20, 2024",90,33,8.5,223,LocalThunk,Playstack
The Making of Karateka,Miscellaneous,"Aug 29, 2023",87,7,7.5,12,Digital Eclipse,Digital Eclipse
Bayonetta + Bayonetta 2,Compilation,"Feb 16, 2018",90,30,8.8,464,PlatinumGames,Nintendo
